Row Number,Star_name,Distance,Mass,Radius,Gravity
0,Sun,1.58E-05,1.99E+30,695700000,274.1047808
2,Alpha Centauri,4.4,2.19E+30,834840000,209.3855964
10,Altair,17,3.58E+30,1252260000,152.2804338
16,Fomalhaut,25,3.78E+30,1252260000,160.7404579
50,Tau Ceti,11.9,1.56E+30,621260100,269.1382688
51,Delta Pavonis,19.92,1.97E+30,848754000,182.5032503
56,Titawin,44.25,2.53E+30,1029636000,158.9267127
61,54 Piscium,36.1,1.51E+30,653958000,235.7623737
87,2MASSW J0045214+163445,57,4.37E+28,115817394.9,217.1485028
88,WISEP J004701.06+680352.1 [fr],40,2.28E+28,92939884.83,175.9355381
110,2MASS J03264225-2102057 [de],80,3.42E+28,92939884.83,263.9033072
117,2MASS J03552337+1133437,29.8,3.80E+28,94369729.21,284.4075791
123,2MASS J04433764+0002040,82,4.18E+28,127256150,172.0448625
127,2MASS J05012406-0010452 [de],64,3.99E+28,98659262.36,273.2248236
131,LSR 0602+3910 [de],34.6,5.32E+28,100804028.9,348.9625633
157,2MASS J10224821+5825453 [de],60,5.13E+28,100804028.9,336.4996146
184,DENIS-P J142527.97-365023.4 [de],38,3.99E+28,94369729.21,298.627958
223,2MASSW J2206450-421721,93,4.18E+28,95084651.4,308.1615368
228,2MASSW J2244316+204343,56,2.28E+28,92224962.64,178.6737933
229,2MASS J23224684-3133231,56,4.56E+28,99374184.55,307.7801972
