,Star_name,Distance,Mass,Radius,Gravity
0,Sun,0.000015813,1.989e+30,695700000.0,274.10478078144416
1,Canopus,310,2.9835e+31,49394700000.0,0.8156262074432974
2,Alpha Centauri,4.4,2.1879e+30,834840000.0,209.38559643026986
3,Arcturus,37,2.1879e+30,18088200000.0,0.44602848943726114
4,Vega,25,4.3758e+30,1878390000.0000002,82.72023562677326
5,Capella,43,5.1714e+30,8348400000.0,4.9491140974427426
6,Rigel,860,4.574699999999999e+31,54890730000.00001,1.0127224556237002
7,Procyon,11.4,2.9835e+30,1321830000.0,113.89395323328705
8,Achernar,144,1.33263e+31,6470010000.000001,21.233692117420226
9,Hadar,390,2.08845e+31,5983020000.0,38.914280667998426
10,Altair,17,3.5802e+30,1252260000.0,152.280433767469
11,Acrux,320,3.5801999999999996e+31,6191730000.0,62.288676354828866
12,Aldebaran,65,2.9835e+30,30610800000.0,0.2123745718864495
13,Antares,600,2.3868e+31,473076000000.0,0.007113445868030558
14,Spica,260,2.2734269999999998e+31,5196879000.0,56.14636402516638
15,Pollux,34,3.7790999999999997e+30,6122160000.000001,6.725194776404233
16,Fomalhaut,25,3.7790999999999997e+30,1252260000.0,160.7404578656617
17,Deneb,2600,3.7791e+31,141227100000.0,0.12637993726728236
18,Mimosa,350,3.1824e+31,5843880000.0,62.15527908876285
19,Regulus,77,7.558199999999999e+30,2156670000.0,108.38690603220478
20,Adhara,430,2.48625e+31,9739800000.0,17.481172243714553
21,Shaula,700,2.88405e+31,6122160000.000001,51.32385487255862
22,Castor,52,5.5692e+30,1669680000.0,133.24537954653536
23,Gacrux,88,2.9835e+30,58438800000.0,0.05827057414571517
24,Bellatrix,240,1.7105399999999998e+31,4035060000.0,70.07434942688525
25,Elnath,130,9.945e+30,2921940000.0,77.69409886095356
26,Miaplacidus,110,6.9615e+30,4730760000.0,20.747550448422462
27,Alnilam,2000,6.3648e+31,29219400000.0,4.972422327101028
28,Gamma Velorum,1100,1.7900999999999998e+31,4174200000.0,68.52619519536104
29,Alnair,101,7.956e+30,2365380000.0,94.84594490707411
30,Alioth,81,5.7681e+30,2921940000.0,45.06257733935306
31,Alnitak,1050,6.5637e+31,13914000000.0,22.613644414469142
32,Dubhe,120,8.453249999999999e+30,20871000000.0,1.2943836870234862
33,Mirfak,590,1.6906499999999999e+31,47307600000.0,0.5038690823188311
34,Wezen,1600,3.3812999999999997e+31,139140000000.0,0.11649453183211377
35,Sargas,270,1.13373e+31,18088200000.0,2.311238536174899
36,Kaus Australis,140,6.9615e+30,4730760000.0,20.747550448422462
37,Avior,630,1.7900999999999998e+31,90441000000.0,0.1459729601794673
38,Alkaid,104,1.2132899999999998e+31,2365380000.0,144.640065983288
39,Menkalinan,81,4.75371e+30,1927089000.0,85.37976854483333
40,Atria,390,1.3923e+31,64004400000.0,0.22669346236650628
41,Alhena,109,5.5692e+30,2295810000.0,70.4768949667625
42,Peacock,180,1.17351e+31,3339360000.0,70.19176243969274
43,Alsephina[2],80,4.7735999999999997e+30,2017530000.0,78.22252959280215
44,Mirzam,500,2.68515e+31,6957000000.0,37.00414540549497
45,Polaris,430,1.07406e+31,27132300000.0,0.9731530678631156
46,Alphard,180,5.967e+30,34785000000.0,0.328925736937733
47,Scheat,196,4.1769e+30,66091500000.0,0.06378061381064075
48,Almaaz,653,2.9835e+31,97398000000.0,0.20977406692457462
49,Rasalgethi,360,5.5692e+30,194796000000.0,0.009789456456480147
50,Tau Ceti,11.9,1.557387e+30,621260100.0,269.1382688446168
51,Delta Pavonis,19.92,1.9710989999999998e+30,848754000.0,182.50325030530178
52,Ran,10.48,1.6309799999999997e+30,514818000.0,410.45639196636995
53,V382 Carinae,8900,3.978e+31,337414500000.0,0.02330575243119942
54,Delta Cephei,887,8.950499999999999e+30,30958650000.0,0.6228867635482888
55,Mu Cephei,6000,3.8188799999999997e+31,676220400000.0,0.005570386237493149
56,Titawin,44.25,2.52603e+30,1029636000.0,158.9267127430762
57,P Cygni,5545,5.967e+31,52873200000.0,1.4236744154160883
58,61 Cygni,11.41,1.3923e+30,462640500.0,433.88172660299824
59,Polaris Australis,281,3.16251e+30,2601918000.0,31.15806867815038
60,R Coronae Borealis,4566,1.6906499999999997e+30,59134500000.0,0.0322476212684052
61,54 Piscium,36.1,1.51164e+30,653958000.0,235.76237369159978
62,Mira,300,2.3867999999999998e+30,257409000000.0,0.0024026715627299706
63,Lacaille 8760,12.87,1.1933999999999999e+30,354807000.0,632.306299380494
64,II Pegasi,130,1.5912e+30,2365380000.0,18.96918898141482
65,Pistol Star,25000,1.989e+32,222624000000.0,0.26768044998187907
66,S Doradus,169000,4.7736e+31,264366000000.0,0.045557581293314824
67,Barnard's Star,5.98,2.7846e+29,139140000.0,959.3667327350546
68,Proxima Centauri,4.25,2.3868e+29,104355000.0,1461.892164167702
69,KIC 8462852,1470,2.84427e+30,1099206000.0,157.01403481712273
70,R136a1,163000,5.7680999999999994e+32,22262400000.0,77.62733049474492
71,Melnick 42,163000,3.75921e+32,14679270000.000002,116.36262340848796
72,WR 102,18134,3.7791e+31,271323000.0,34240.5709062948
73,VFTS 352,164000,1.1432771999999998e+32,10066779000.0,75.24823324055542
74,YBP 1194,2772,2.00889e+30,688743000.0,282.46692030329416
75,Gliese 1214,47.5,3.1824e+29,146097000.0,994.4844654202057
76,VB 10,18.72,1.4917499999999999e+29,69570000.0,2055.7858558608314
77,TRAPPIST-1,39.6,1.7702099999999997e+29,83484000.0,1694.1198256630921
78,2MASS J0523-1403,40.3,1.3923e+29,59830199.99999999,2594.2853778665626
79,SDSS J000013.54+255418.6 [de],46.1,9.113642553599999e+28,70777296.90900001,1213.472337393796
80,2MASS J00040288-6410358,192,3.6074835108e+28,116532317.133,177.1892722699507
81,2MASS J00242463-0158201,37.7,1.49995367028e+29,77926518.81899999,1647.5292272061336
82,2MASS J00274197+0503417,236,5.8858941492000005e+28,102948795.50400001,370.4211212210392
83,2MASSW J0030300-145033,87.2,1.02528478728e+29,70062374.71800001,1393.1588584075562
